Name of the Municiplaity/corporation,Ward No.,Ward reserved for,Total No. of Voters including service voters in the ward,Total Votes Polled (excluding PBs) in the ward,No. of Postal Ballots Polled in the ward,No. of Tendered Votes Polled in the ward,No. of Valid Votes (including PBs) in the ward,No. of Rejected Votes Polled (including PBs) in the ward,No. of Votes Polled to NOTA (including PBs) in the ward,Sl.No. of the Candidate in the ward,Name of the Contesting Candidate in the ward,No. of Valid Votes Secured (including PBs) by the candidate,Party Affiliation if any,Result
GHMC,Ward 1 - Kapra,SC(G),46223,20847,18,0,20245,401,219,1,ALLAKONDKAR VINOD KUMAR,6684,BJP,
GHMC,Ward 1 - Kapra,SC(G),46223,20847,18,0,20245,401,219,2,PATHI KUMAR,3631,INC,
GHMC,Ward 1 - Kapra,SC(G),46223,20847,18,0,20245,401,219,3,MUNIGADAPA SREERAMULU,788,TDP,
GHMC,Ward 1 - Kapra,SC(G),46223,20847,18,0,20245,401,219,4,S.SWARNA RAJ,8762,TRS,Elected
GHMC,Ward 1 - Kapra,SC(G),46223,20847,18,0,20245,401,219,5,KANDREGULA VENUGOPAL RAO,380,TJSP,
GHMC,Ward 2 - Dr.A.S.Rao nagar,UR(W),41691,19314,21,0,18971,198,166,1,CHANDRIKA MEDURI,4647,BJP,
GHMC,Ward 2 - Dr.A.S.Rao nagar,UR(W),41691,19314,21,0,18971,198,166,2,DUDALA NIRMALA,738,TDP,
GHMC,Ward 2 - Dr.A.S.Rao nagar,UR(W),41691,19314,21,0,18971,198,166,3,PAJJURI PAVANI MANIPAL REDDY,4513,TRS,
GHMC,Ward 2 - Dr.A.S.Rao nagar,UR(W),41691,19314,21,0,18971,198,166,4,SHIRISHA REDDY SINGIREDDY,9043,INC,Elected
GHMC,Ward 2 - Dr.A.S.Rao nagar,UR(W),41691,19314,21,0,18971,198,166,5,BHADRAGAMA ARCHANA,19,TJSP,
GHMC,Ward 2 - Dr.A.S.Rao nagar,UR(W),41691,19314,21,0,18971,198,166,6,V. PUSHPA LATHA,11,INDEPENDENT,
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,1,PILLI VENKATESWARLU,224,CPM,
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,2,BONTHU SRIDEVI,11635,TRS,Elected
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,3,G.YADAGIRI,1287,INC,
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,4,RUDRAGONI RAMCHANDAR GOUD,606,TDP,
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,5,SURENDER GOUD KASULA,8905,BJP,
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,6,NIMMALA BHANU TEJA GOUD,585,INDEPENDENT,
GHMC,Ward 3 - Cherlapally,BC(G),46444,24871,6,0,23944,657,276,7,BODIGE RAJU GOUD,702,INDEPENDENT,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,1,POLEPAKA ANJAIAH,1812,INC,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,2,J. PRABHU DASS,11266,TRS,Elected
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,3,BANGI JAYA LAKSHMI,7327,BJP,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,4,MUKKA RAJA MALLAIAH,12,MCPIU,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,5,KATTULA PRUDVI KUMAR,4,INDEPENDENT,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,6,KAMPALLY VIJAY KUMAR,9,INDEPENDENT,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,7,KONGARA SHYAM NARSING,9,INDEPENDENT,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,8,A. MANIKANTA,54,INDEPENDENT,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,9,V. R. SRINIVAS,44,INDEPENDENT,
GHMC,Ward 4 - Meerpet H.B.Colony,SC(G),43559,21224,7,0,20556,488,187,10,SUNCHU MADHAN MOHAN,19,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,1,DEVENDAR REDDY PANNALA,9157,TRS,Elected
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,2,RANGU MALLIKARJUN GOUD,6465,BJP,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,3,VANGETI SANJEEVA REDDY,2617,INC,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,4,T. SATYA PRASAD BABU,568,CPI,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,5,SURNAM RAJESHWAR,584,TDP,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,6,KOTHA MANI,409,TJSP,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,7,KALAGA SARVESHWAR RAO,361,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,8,S.V. KRISHNA,761,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,9,PEDIMOOTHY SHIVA KUMAR,144,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,10,BOLLAMPALLY NIRMALA,208,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,11,MOHAMMED OSMAN,495,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,12,S. RAVINDRA SAGAR,457,INDEPENDENT,
GHMC,Ward 5 - Mallapur,UR(G),48359,23067,10,0,22231,671,175,13,RAMPALLY MALLESH GOUD,5,INDEPENDENT,
GHMC,Ward 6 - Nacharam,UR(W),54477,23431,13,0,22747,441,256,1,AMPALA ANITHA,7495,BJP,
GHMC,Ward 6 - Nacharam,UR(W),54477,23431,13,0,22747,441,256,2,MEDALA JYOTHI,5592,INC,
GHMC,Ward 6 - Nacharam,UR(W),54477,23431,13,0,22747,441,256,3,SHANTHI SAIZEN SHEKAR,9549,TRS,Elected
GHMC,Ward 6 - Nacharam,UR(W),54477,23431,13,0,22747,441,256,4,PARVEEN TABASSUM,46,TJSP,
